trade_date,asset_id,name,industry,market,close,close_to_high_60d_pct,ma20_deviation_pct,red_k_ratio_20d,green_k_ratio_20d,long_shadow_ratio_20d,max_drawdown_60d,max_drawdown_120d,amount_ratio_20d,weekly_asof_trade_date,weekly_ma20_slope_4w,weekly_max_drawdown_26w,setup_score_diag
20260703,300488.SZ,恒锋工具,机械基件,创业板,45.82,-0.0452177536986873,0.10460210698874173,0.6,0.4,0.5369077148318102,-0.23435996150144378,-0.3406369426751593,0.9762129287815612,20260703,0.04665385553928747,-0.27881241565452086,49.922796
20260703,300497.SZ,富祥股份,化学制药,创业板,21.86,-0.06341045415595548,0.13050448633413492,0.6,0.4,0.4888624865486951,-0.2309631870902672,-0.2309631870902672,1.1606467081309078,20260703,0.03818127962085294,-0.2080745341614907,48.749011
20260703,300506.SZ,名家汇,建筑工程,创业板,6.25,-0.038461538461538436,0.19400133728149793,0.5,0.5,0.6103831817332996,-0.17567567567567566,-0.23201438848920863,1.2707794182698207,20260703,0.03126277073968109,-0.22482014388489213,51.921691
20260703,300560.SZ,中富通,通信设备,创业板,21.08,-0.0347985347985349,0.11125754500645768,0.55,0.44999999999999996,0.6038700840193886,-0.13714285714285712,-0.27253558249868204,1.0154504912056177,20260703,0.03282967876666065,-0.18078453666856165,54.383433
20260703,300568.SZ,星源材质,化工原料,创业板,20.0,-0.01671583087512285,0.08530497069676568,0.6,0.4,0.5114611704279617,-0.18396458435809138,-0.18396458435809138,1.0401122920569867,20260703,0.052792406215460774,-0.17789890981169476,58.679003
20260703,300592.SZ,华凯易佰,互联网,创业板,18.25,-0.011911207363291765,0.2555899552803578,0.7,0.30000000000000004,0.5156185690661443,-0.25651302605210424,-0.2658311345646438,0.8943906805392725,20260703,0.022153822769417797,-0.21433494141971055,55.641972
20260703,300661.SZ,圣邦股份,半导体,创业板,139.6,-0.027042096459436782,0.10393692692744128,0.65,0.35,0.6033205058827086,-0.15086419753086422,-0.20234903612919697,1.172883635743626,20260703,0.1341065823122325,-0.1364591541896506,58.607289
20260703,300689.SZ,澄天伟业,通信设备,创业板,66.5,-0.06073446327683607,0.10158611835838838,0.7,0.30000000000000004,0.5334755799690878,-0.21479791395045633,-0.25209652575731645,0.965883214472481,20260703,0.041194614443084365,-0.21098011613584366,50.49818
20260703,300720.SZ,海川智能,电器仪表,创业板,108.11,-0.06592362191118017,0.2755740142058194,0.6,0.4,0.5840165408900867,-0.21560946210637333,-0.2758380859646682,1.2075165618670487,20260703,0.2020849068039201,-0.2255281166319547,44.904483
20260703,300843.SZ,胜蓝股份,元器件,创业板,151.46,-0.050407523510971775,0.24189276724145015,0.55,0.44999999999999996,0.5870927456426267,-0.20941968040370063,-0.21308290155440412,1.010050985970788,20260703,0.22135085960417356,-0.0979757085020242,46.749631
